Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
NOTION - THE RARE OCCASSIONS,5.56,2.53,0.51,4.55,12.63,9.6,0,7.71,99.78,,,,,,,,,,,
EASY ON ME - ADELE,14.98,1.45,0,5.8,14.98,20.77,0,7.81,100,,,,,,,,,,,
NOT AFRAID - EMINEM,9.79,1.05,1.98,8.62,12.47,13.17,0.23,15.29,99.27,,,,,,,,,,,
RAP GOD - EMINEM,7.71,1.44,2.26,6.06,8.63,8.43,0.51,56.84,75.9,,,,,,,,,,,
MOCKINGBIRD - EMINEM,4.34,1.67,1.89,15.37,11.47,11.02,0,10.68,79.22,,,,,,,,,,,
I FEEL IT COMING - THE WEEKND,14.79,1.38,0.99,13.61,16.57,18.74,0,0.74,100,,,,,,,,,,,
FLAWS AND SINS - JUICE WRLD,8.5,5.47,2.43,9.51,8.7,8.7,1.42,34.38,80.59,,,,,,,,,,,
"GIFTED - CORDAE, RODDY RICCH",11.32,2.41,1.67,4.64,6.31,10.02,0,55.74,78.4,,,,,,,,,,,
THE NIGHTS - AVICII,9.88,0.4,1.19,16.6,7.11,9.49,0,6.28,99.92,,,,,,,,,,,
"WHENEVER, WHEREVER - SHAKIRA",7.86,6.29,2.2,9.43,9.43,5.66,0,3.82,97.51,,,,,,,,,,,
"BITCH, DON'T KILL MY VIBE - KENDRICK LAMAR",14.11,2.8,5.59,5.99,11.58,7.99,2.4,9.36,88.62,,,,,,,,,,,
TAKE ME OUT  - FRANZ FERDINAND,19.09,0.41,0.83,10.79,13.28,17.84,0,0.1,100,,,,,,,,,,,
DIE FOR YOU - THE WEEKND,12.47,2.54,3,16.4,18.48,8.78,0.23,1.35,65.54,,,,,,,,,,,
FUTILE DEVICES - SUFJAN STEVENS (DOVEMAN REMIX),13.08,5.38,0.77,10,7.69,12.31,0.77,1.07,98.92,,,,,,,,,,,
GORGEOUS - KANYE WEST,9.23,2.64,0.88,6.92,12.31,8.68,0.11,23.1,91.59,,,,,,,,,,,
